"country","continent","year","homicides","pop_size","infant_mortality","GDP","maternal_death_risk","urban_pop_percent","access_sanitation_percent","GDP_per_capita"
"Albania","Europe",1995,6.68555175858664,3106727,29.1,4743814207.35398,0.150666064043626,38.911,79.4,1526.94916783933
"Albania","Europe",1996,7.96762317768731,3092034,27.9,5175583885.98711,0.137013841525874,39.473,80.2,1673.84442926149
"Albania","Europe",1997,49.8722145785992,3092471,26.8,4614661571.0078,0.130847697502703,40.035,81,1492.22468731568
"Albania","Europe",1998,18.6097146607852,3102898,25.5,5030386507.83175,0.112429590141887,40.601,81.8,1621.18977415041
"Albania","Europe",1999,16.1420237736862,3114851,24.4,5709547508.16461,0.0977600684628454,41.169,82.6,1833.00822677059
"Albania","Europe",2005,5,3082172,18.3,8094011547.99903,0.0485864563242927,46.731,87.4,2626.0739335764
"Albania","Europe",2006,3.1,3050741,17.4,8533598221.35818,0.0460611519991975,47.815,88.1,2797.22146893433
"Albania","Europe",2007,3.5,3010849,16.7,9037534184.1309,0.0457014551149005,48.902,88.9,3001.65640459913
"Albania","Europe",2008,3.1,2968026,16,9718626911.55137,0.0457831161713966,49.991,89.6,3274.44129921752
"Albania","Europe",2009,2.9,2929886,15.4,10044616726.5116,0.047116066633304,51.076,90.2,3428.33022394441
"Albania","Europe",2010,4.4,2901883,14.8,10416960298.4741,0.0496072945024301,52.163,90.9,3589.72443012833
"Albania","Europe",2011,4.9,2886010,14.3,10682117301.0678,0.0506525041115534,53.247,91.5,3701.34452100575
"Albania","Europe",2012,5.5,2880667,13.8,10855555753.9967,0.0518733725181687,54.33,92.1,3768.4174373493
"Albania","Europe",2013,4.3,2883281,13.3,11006734137.9568,0.0525995172900077,55.383,92.7,3817.43372843535
"Albania","Europe",2014,4,2889676,12.9,11238147579.0642,0.0528783697299301,56.409,93.2,3889.06838658182
"Albania","Europe",2015,2.3,NA,12.5,NA,0.0533605376602974,NA,93.2,NA
"Algeria","Africa",2003,2,32394886,31.3,93431200070.2893,0.369697941070551,62.284,84.7,2884.13424484004
"Algeria","Africa",2004,1.4,32817225,30.1,97448741673.3126,0.369293783487818,63.061,85,2969.43881371178
"Algeria","Africa",2005,0.6,33267887,28.8,103198217432.033,0.373915358093734,63.83,85.3,3102.03703144817
"Algeria","Africa",2006,0.9,33749328,27.6,104952587128.376,0.384648892011381,64.593,85.6,3109.76820422546
"Algeria","Africa",2007,0.8,34261971,26.4,108520975090.743,0.401549272028873,65.348,85.8,3167.38856298556
"Algeria","Africa",2008,0.9,34811059,25.3,111125478492.925,0.417845041767797,66.097,86.1,3192.24642068272
"Algeria","Africa",2009,0.8,35401790,24.3,112903486148.809,0.430704954803968,66.822,86.4,3189.20275355594
"Algeria","Africa",2010,0.7,36036159,23.5,116968011650.164,0.43950134057935,67.526,86.6,3245.85124763613
"Algeria","Africa",2011,0.8,36717132,22.8,120360083988.021,0.446353480964562,68.209,86.8,3278.03609464979
"Algeria","Africa",2012,1.4,37439427,22.4,124452326843.615,0.445115943016134,68.87,87,3324.09806495209
"Algeria","Africa",2013,1.3,38186135,22.1,127936991995.235,0.440503983224096,69.51,87.2,3350.35195353588
