country,continent
Andorra,Europe
Antigua and Barbuda,Americas
Armenia,Asia
Azerbaijan,Asia
Barbados,Americas
Belarus,Europe
Belize,Americas
Bhutan,Asia
Dominica,Americas
Estonia,Europe
Fiji,Oceania
Georgia,Europe
Grenada,Americas
Guyana,Americas
Kazakhstan,Asia
Kiribati,Oceania
Latvia,Europe
Liechtenstein,Europe
Lithuania,Europe
Luxembourg,Europe
Maldives,Asia
Malta,Europe
Marshall Islands,Oceania
Moldova,Europe
Monaco,Europe
Nauru,Oceania
Palau,Oceania
Papua New Guinea,Oceania
Qatar,Asia
Samoa,Oceania
San Marino,Europe
Seychelles,Africa
Solomon Islands,Oceania
South Sudan,Africa
Suriname,Americas
Tajikistan,Asia
Timor-Leste,Asia
Tonga,Oceania
Turkmenistan,Asia
Tuvalu,Oceania
Ukraine,Europe
United Arab Emirates,Asia
Uzbekistan,Asia
Vanuatu,Oceania
